CUMULATIVE NETSIM STATISTICS AT TIME 13:57: 0
ELAPSED TIME IS  0:33: 0 ( 1980 SECONDS),    TIME PERIOD  1 ELAPSED TIME IS 1980 SECONDS
UpNode,DownNode,TravelDistanceTotal,Trips,MoveTimeTotal,DelayTravelTotal,TravelTimeTotal,MoveTimePerTravelTimeRatio,TravelTimePerDistanceTraveled,DelayTravelPerDistanceTraveled,TravelTimePerVehicle,DelayTravelPerVehicle,DelayControlPerVehicle,DelayQueuePerVehicle,DelayStopPerVehicle,StoppedVehiclesPercent,Volume,SpeedAverage,
Up Node,Down Node,Travel Distance Total,Trips,Move Time Total,Delay Travel Total,Travel Time Total,Move Time Per Travel Time Ratio,Travel Time Per DistanceT raveled,Delay Travel Per Distance Traveled,Travel Time Per Vehicle,Delay Travel Per Vehicle,Delay Control Per Vehicle,Delay Queue Per Vehicle,Delay Stop Per Vehicle,Stopped Vehicles Percent,Volume,Speed Average,
    89,    81,       7.399,     601.000,      14.797,      19.036,      33.833,       0.437,       4.573,       2.573,       3.378,       1.900,       0.064,       0.057,       0.030,       1.830,    1093.279,      13.121,
    89,    82,      10.364,     570.000,      20.727,      30.106,      50.833,       0.408,       4.905,       2.905,       5.336,       3.160,       0.300,       0.114,       0.056,       3.158,    1036.887,      12.232,
    93,   100,       8.505,     109.000,      17.011,      -1.111,      15.900,       1.070,       1.869,      -0.131,       8.752,      -0.611,       0.430,       0.128,       0.110,       5.505,     198.282,      32.095,
    62,    58,     170.730,    1648.000,     341.461,      -3.227,     338.233,       1.010,       1.981,      -0.019,      12.271,      -0.117,       0.390,       0.000,       0.000,       0.000,    2997.878,      30.286,
    60,    62,     165.977,    1608.000,     331.955,      28.812,     360.767,       0.920,       2.174,       0.174,      13.424,       1.080,       0.000,       0.000,       0.000,       0.000,    2925.114,      27.604,
    57,    56,     304.107,    1852.000,     608.214,      49.253,     657.467,       0.925,       2.162,       0.162,      21.199,       1.602,       0.000,       0.000,       0.000,       0.000,    3368.974,      27.753,
    56,    59,     181.832,    1101.000,     363.664,      -1.430,     362.233,       1.004,       1.992,      -0.008,      19.640,      -0.083,       0.401,       0.000,       0.000,       0.000,    2002.830,      30.118,
    82,  7016,      82.582,     709.000,     165.165,      34.885,     200.050,       0.826,       2.422,       0.422,      16.849,       2.950,       0.000,       0.008,       0.004,       0.000,    1289.742,      24.769,
    92,    86,       0.701,      50.000,       1.402,       0.165,       1.567,       0.895,       2.236,       0.236,       1.880,       0.198,       0.001,       0.000,       0.000,       0.000,      90.955,      26.838,
    86,  7018,       5.464,      50.000,      10.928,       0.755,      11.683,       0.935,       2.138,       0.138,      14.020,       0.906,       0.000,       0.000,       0.000,       0.000,      90.955,      28.061,
