CUMULATIVE NETSIM STATISTICS AT TIME 13:57: 0
ELAPSED TIME IS  0:33: 0 ( 1980 SECONDS),    TIME PERIOD  1 ELAPSED TIME IS 1980 SECONDS
UpNode,DownNode,TravelDistanceTotal,Trips,MoveTimeTotal,DelayTravelTotal,TravelTimeTotal,MoveTimePerTravelTimeRatio,TravelTimePerDistanceTraveled,DelayTravelPerDistanceTraveled,TravelTimePerVehicle,DelayTravelPerVehicle,DelayControlPerVehicle,DelayQueuePerVehicle,DelayStopPerVehicle,StoppedVehiclesPercent,Volume,SpeedAverage,
Up Node,Down Node,Travel Distance Total,Trips,Move Time Total,Delay Travel Total,Travel Time Total,Move Time Per Travel Time Ratio,Travel Time Per DistanceT raveled,Delay Travel Per Distance Traveled,Travel Time Per Vehicle,Delay Travel Per Vehicle,Delay Control Per Vehicle,Delay Queue Per Vehicle,Delay Stop Per Vehicle,Stopped Vehicles Percent,Volume,Speed Average,
    17,    18,      95.976,     216.000,     191.952,      25.515,     217.467,       0.883,       2.266,       0.266,      59.057,       6.925,       1.971,       0.163,       0.141,       7.870,     392.926,      26.480,
    18,    20,      46.075,     194.000,      92.150,      11.883,     104.033,       0.886,       2.258,       0.258,      31.995,       3.614,       0.557,       0.046,       0.041,       2.062,     352.906,      26.573,
    20,    18,      31.695,     136.000,      63.389,      10.994,      74.383,       0.852,       2.347,       0.347,      32.496,       4.825,       1.345,       0.014,       0.014,       0.735,     247.398,      25.566,
    20,    19,      43.273,      96.000,      86.545,      14.288,     100.833,       0.858,       2.330,       0.330,      62.071,       8.760,       2.354,       1.283,       1.192,      25.000,     174.634,      25.749,
    19,    20,     120.376,     268.000,     240.752,      33.731,     274.483,       0.877,       2.280,       0.280,      60.296,       7.379,       1.682,       0.112,       0.090,       4.851,     487.519,      26.313,
    19,    17,      63.864,     253.000,     127.728,      19.388,     147.117,       0.868,       2.304,       0.304,      34.146,       4.484,       1.437,       0.284,       0.257,       7.510,     460.232,      26.046,
    17,    19,      47.679,     187.000,      95.357,      14.509,     109.867,       0.868,       2.304,       0.304,      35.132,       4.622,       1.461,       0.228,       0.201,      10.695,     340.172,      26.038,
    19,     8,      21.379,     136.000,      42.758,      10.059,      52.817,       0.810,       2.471,       0.471,      23.190,       4.420,       1.476,       0.350,       0.307,      12.500,     247.398,      24.286,
     8,    19,      60.823,     390.000,     121.647,      29.653,     151.300,       0.804,       2.488,       0.488,      23.179,       4.544,       1.282,       0.059,       0.046,       2.051,     709.449,      24.120,
    20,    21,      86.648,     209.000,     173.296,      20.887,     194.183,       0.892,       2.241,       0.241,      54.397,       5.992,       1.145,       0.000,       0.000,       0.000,     380.192,      26.773,
    21,    20,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,
    21,     4,     238.323,     528.000,     476.647,     111.220,     587.867,       0.811,       2.467,       0.467,      65.690,      12.370,       3.471,       0.231,       0.189,       8.712,     960.485,      24.324,
     4,    21,     153.584,     339.000,     307.167,      53.966,     361.133,       0.851,       2.351,       0.351,      63.213,       9.514,       2.965,       0.284,       0.213,       9.145,     616.675,      25.517,
    59,    58,      31.709,     463.000,      63.419,      -0.052,      63.367,       1.001,       1.998,      -0.002,       8.207,      -0.009,       0.009,       0.000,       0.000,       0.000,     842.244,      30.025,
    58,    59,      13.913,     198.000,      27.825,       4.442,      32.267,       0.862,       2.319,       0.319,       9.716,       1.356,       0.499,       0.159,       0.159,       8.586,     360.182,      25.870,
    58,    57,      27.879,     460.000,      55.758,       3.292,      59.050,       0.944,       2.118,       0.118,       7.685,       0.431,       0.019,       0.000,       0.000,       0.000,     836.786,      28.327,
    57,    58,      12.121,     200.000,      24.242,       0.774,      25.017,       0.969,       2.064,       0.064,       7.505,       0.232,       0.011,       0.000,       0.000,       0.000,     363.820,      29.072,
    57,    56,      24.500,     462.000,      49.000,       2.833,      51.833,       0.945,       2.116,       0.116,       6.732,       0.368,       0.005,       0.000,       0.000,       0.000,     840.424,      28.360,
    56,    57,      10.606,     200.000,      21.212,       0.555,      21.767,       0.975,       2.052,       0.052,       6.530,       0.166,       0.016,       0.000,       0.000,       0.000,     363.820,      29.236,
    56,    55,      16.764,     461.000,      33.527,       2.223,      35.750,       0.938,       2.133,       0.133,       4.649,       0.289,       0.012,       0.000,       0.000,       0.000,     838.605,      28.135,
    55,    56,       7.273,     200.000,      14.545,       0.605,      15.150,       0.960,       2.083,       0.083,       4.532,       0.185,       0.000,       0.000,       0.000,       0.000,     363.820,      28.803,
    55,    54,      46.275,     461.000,      92.549,      23.817,     116.367,       0.795,       2.515,       0.515,      15.080,       3.088,       1.475,       0.508,       0.465,      13.666,     838.605,      23.860,
    54,    55,      19.967,     201.000,      39.934,       3.949,      43.883,       0.910,       2.198,       0.198,      13.050,       1.183,       0.008,       0.010,       0.000,       0.000,     365.639,      27.300,
    54,    53,      27.794,     286.000,      55.588,       4.829,      60.417,       0.920,       2.174,       0.174,      12.675,       1.013,       0.024,       0.007,       0.000,       0.000,     520.263,      27.602,
    53,    54,      17.465,     177.000,      34.931,       9.669,      44.600,       0.783,       2.554,       0.554,      15.056,       3.280,       2.036,       1.078,       1.022,      22.599,     321.981,      23.496,
    53,    52,      30.015,     283.000,      60.030,       1.870,      61.900,       0.970,       2.062,       0.062,      13.091,       0.426,       0.027,       0.000,       0.000,       0.000,     514.805,      29.094,
    52,    53,      18.985,     179.000,      37.970,       0.797,      38.767,       0.979,       2.042,       0.042,      12.956,       0.266,       0.009,       0.000,       0.000,       0.000,     325.619,      29.383,
    52,    51,      28.898,     281.000,      57.797,      12.287,      70.083,       0.825,       2.425,       0.425,      14.880,       2.608,       1.377,       0.484,       0.463,      14.947,     511.167,      24.741,
